group_id: [96,41]

Description: C3 : ((C2 x C2 x C2) : C4)

   Subgroups                    rho
  1                            1
  C2                           1
  C2                           1
  C2                           1
  C2                           1
  C2                           1
  C3                           1
  C2 x C2                      1
  C4                           1
  C2 x C2                      1
  C2 x C2                      1
  C4                           1
  C2 x C2                      1
  C2 x C2                      1
  C4                           1
  C2 x C2                      1
  C6                           1
  C6                           1
  C6                           1
  C6                           1
  C6                           1
  C2 x C2 x C2                 1
  D4                           1
  C4 x C2                      1
  C2 x C2 x C2                 1
  C4 x C2                      1
  C4 x C2                      1
  D4                           1
  C6 x C2                      1
  C12                          1
  C6 x C2                      1
  C6 x C2                      1
  C6 x C2                      1
  C6 x C2                      1
  C3 : C4                      1
  C3 : C4                      1
  C6 x C2                      1
  C2 x D4                      1
  (C4 x C2) : C2               1
  (C4 x C2) : C2               1
  C3 x D4                      1
  C3 x D4                      1
  C6 x C2 x C2                 1
  C12 x C2                     1
  C6 x C2 x C2                 1
  C2 x (C3 : C4)               1
  C2 x (C3 : C4)               1
  (C2 x C2 x C2) : C4          1
  (C6 x C2) : C4               1
  C6 x D4                      1
  (C6 x C2) : C4               1
  C3 : ((C2 x C2 x C2) : C4)   1
