group_id: [96,222]

Description: C2 x C6 x Q8

   Subgroups       rho
  1               1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C3              1
  C4              1
  C4              1
  C2 x C2         1
  C4              1
  C2 x C2         1
  C4              1
  C4              1
  C4              1
  C2 x C2         1
  C4              1
  C4              1
  C4              1
  C4              1
  C4              1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C4              1
  C2 x C2         1
  C6              1
  C6              1
  C6              1
  C6              1
  C6              1
  C6              1
  C6              1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  Q8              1
  Q8              1
  C2 x C2 x C2    1
  C4 x C2         1
  Q8              1
  Q8              1
  Q8              1
  C4 x C2         1
  Q8              1
  C4 x C2         1
  Q8              1
  C4 x C2         1
  Q8              1
  Q8              1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  Q8              1
  Q8              1
  Q8              1
  Q8              1
  Q8              1
  Q8              1
  C4 x C2         1
  C4 x C2         1
  C4 x C2         1
  Q8              1
  C4 x C2         1
  C12             1
  C6 x C2         1
  C12             1
  C12             1
  C12             1
  C12             1
  C12             1
  C6 x C2         1
  C12             1
  C6 x C2         1
  C6 x C2         1
  C12             1
  C12             1
  C12             1
  C6 x C2         1
  C6 x C2         1
  C6 x C2         1
  C12             1
  C12             1
  C4 x C2 x C2    1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C2 x Q8         1
  C4 x C2 x C2    1
  C2 x Q8         1
  C2 x Q8         1
  C4 x C2 x C2    1
  C12 x C2        1
  C12 x C2        1
  C3 x Q8         1
  C3 x Q8         1
  C3 x Q8         1
  C12 x C2        1
  C12 x C2        1
  C12 x C2        1
  C6 x C2 x C2    1
  C12 x C2        1
  C3 x Q8         1
  C3 x Q8         1
  C3 x Q8         1
  C12 x C2        1
  C12 x C2        1
  C12 x C2        1
  C3 x Q8         1
  C3 x Q8         1
  C12 x C2        1
  C12 x C2        1
  C3 x Q8         1
  C3 x Q8         1
  C3 x Q8         1
  C12 x C2        1
  C12 x C2        1
  C12 x C2        1
  C3 x Q8         1
  C12 x C2        1
  C3 x Q8         1
  C3 x Q8         1
  C12 x C2        1
  C12 x C2        1
  C3 x Q8         1
  C12 x C2        1
  C3 x Q8         1
  C2 x C2 x Q8    1
  C6 x Q8         1
  C6 x Q8         1
  C12 x C2 x C2   1
  C12 x C2 x C2   1
  C12 x C2 x C2   1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C6 x Q8         1
  C2 x C6 x Q8    1
