group_id: [160,147]

Description: C5 : ((C4 x C4) : C2)

   Subgroups               rho
  1                       1
  C2                      1
  C2                      1
  C2                      1
  C2                      1
  C2                      1
  C4                      1
  C4                      1
  C4                      1
  C4                      1
  C4                      1
  C4                      1
  C4                      1
  C2 x C2                 1
  C4                      1
  C2 x C2                 1
  C2 x C2                 1
  C2 x C2                 1
  C2 x C2                 1
  C5                      1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C4 x C2                 1
  C2 x C2 x C2            1
  C10                     1
  C10                     1
  C10                     1
  C10                     1
  C10                     1
  C4 : C4                 1
  (C4 x C2) : C2          1
  C4 x C2 x C2            1
  C4 : C4                 1
  (C4 x C2) : C2          1
  C4 x C4                 1
  C4 x C4                 1
  C10 x C2                1
  C10 x C2                1
  C5 : C4                 1
  C10 x C2                1
  C20                     1
  C10 x C2                1
  C20                     1
  C20                     1
  C20                     1
  C5 : C4                 1
  C10 x C2                1
  C5 : C4                 1
  C5 : C4                 1
  (C4 x C4) : C2          1
  C2 x (C5 : C4)          1
  C20 x C2                1
  C2 x (C5 : C4)          1
  C2 x (C5 : C4)          1
  C20 x C2                1
  C10 x C2 x C2           1
  C20 x C2                1
  C2 x (C5 : C4)          1
  C20 x C2                1
  C20 x C2                1
  C20 x C2                1
  C20 : C4                1
  (C10 x C2) : C4         1
  C20 x C2 x C2           1
  C4 x (C5 : C4)          1
  C4 x (C5 : C4)          1
  (C10 x C2) : C4         1
  C20 : C4                1
  C5 : ((C4 x C4) : C2)   1
