group_id: [128,43]

Description: C16 : C8

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C4          1
  C2 x C2     1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C8          1
  C8          1
  C8          1
  C8          1
  C4 x C2     1
  C8          1
  C8          1
  C8          1
  C4 x C2     1
  C4 x C2     1
  C8          1
  C4 x C4     1
  C16         1
  C8 x C2     1
  C16         1
  C16         1
  C16         1
  C16         1
  C16         1
  C8 x C2     1
  C8 x C2     1
  C8 x C2     1
  C8 x C2     1
  C16         1
  C8 x C2     1
  C16         1
  C8 x C4     1
  C8 x C4     1
  C16 x C2    1
  C16 x C2    1
  C8 x C4     1
  C16 x C2    1
  C16 x C2    1
  C8 x C8     1
  C16 x C4    1
  C16 x C4    1
  C16 : C8    1
